Model,Type,Architecture,Dimension,Storage_MB,NDCG@10,Retention%
MPNet-FT,Fine-Tuned,MPNet,768,3.29296875,0.8114035010357403,100.0
MPNet-FT,Fine-Tuned,MPNet,512,2.1953125,0.8072118714176287,99.48340996646415
MPNet-FT,Fine-Tuned,MPNet,256,1.09765625,0.7918152369014714,97.58587877557036
MPNet-FT,Fine-Tuned,MPNet,128,0.548828125,0.7796320282805437,96.08438061770241
MPNet-FT,Fine-Tuned,MPNet,64,0.2744140625,0.7438451601063065,91.67389087633995
Shihab17-FT,Fine-Tuned,Shihab17,768,3.29296875,0.7759447825765334,99.89097206050155
Shihab17-FT,Fine-Tuned,Shihab17,512,2.1953125,0.7767917025640338,100.0
Shihab17-FT,Fine-Tuned,Shihab17,256,1.09765625,0.7667807221411702,98.71124004159424
Shihab17-FT,Fine-Tuned,Shihab17,128,0.548828125,0.7496955767916992,96.51179000974189
Shihab17-FT,Fine-Tuned,Shihab17,64,0.2744140625,0.7100250385880584,91.40481756491579
DistilUSE-FT,Fine-Tuned,DistilUSE,512,2.1953125,0.5925115764499407,100.0
DistilUSE-FT,Fine-Tuned,DistilUSE,256,1.09765625,0.579297673688582,97.76984901450696
DistilUSE-FT,Fine-Tuned,DistilUSE,128,0.548828125,0.5616886244129244,94.7979156421393
DistilUSE-FT,Fine-Tuned,DistilUSE,64,0.2744140625,0.5270153244144565,88.9459962237518
MPNet-Base,Base,MPNet,768,3.29296875,0.47145086367728867,100.0
MPNet-Base,Base,MPNet,512,2.1953125,0.45616878427759033,96.75850007347552
MPNet-Base,Base,MPNet,256,1.09765625,0.449155506897965,95.27090551803825
MPNet-Base,Base,MPNet,128,0.548828125,0.41361002402203884,87.7313111266581
MPNet-Base,Base,MPNet,64,0.2744140625,0.3786120418871722,80.30784776466858
Shihab17-Base,Base,Shihab17,768,3.29296875,0.3105975729575153,100.0
Shihab17-Base,Base,Shihab17,512,2.1953125,0.3077149158737472,99.07189967509426
Shihab17-Base,Base,Shihab17,256,1.09765625,0.29480023796152344,94.91388974950146
Shihab17-Base,Base,Shihab17,128,0.548828125,0.27649207197332115,89.01939230901228
Shihab17-Base,Base,Shihab17,64,0.2744140625,0.2203925911326416,70.95760248029617
DistilUSE-Base,Base,DistilUSE,512,2.1953125,0.014975312441995608,71.50640030536479
DistilUSE-Base,Base,DistilUSE,256,1.09765625,0.020942618252414086,100.0
DistilUSE-Base,Base,DistilUSE,128,0.548828125,0.015280473430803444,72.96352942422585
DistilUSE-Base,Base,DistilUSE,64,0.2744140625,0.009443582086633989,45.092652565279955
